comparison,feature,feature_type,psi,drift_severity,ks_statistic,ks_p_value,total_variation_distance,reference_missing_rate,current_missing_rate,missing_rate_change
training_vs_validation,membership_age_days,numeric,0.00012117452510070593,stable,0.004372601559042288,0.07984461392256659,,0.0,0.0,0.0
training_vs_validation,registration_year,numeric,9.891688812895567e-05,stable,0.004227365424642804,0.09852748321308613,,0.0,0.0,0.0
training_vs_validation,registration_month,numeric,2.6806686649268197e-05,stable,0.001234126263752855,0.9995242104300444,,0.0,0.0,0.0
training_vs_validation,bd_missing,numeric,1.1297290392450527e-07,stable,0.0001645094333983521,1.0,,0.0,0.0,0.0
training_vs_validation,registration_missing,numeric,1.7287086808448226e-05,stable,0.0013197930368963329,0.9985175828674036,,0.0,0.0,0.0
training_vs_validation,has_member_profile,numeric,1.7287086808448226e-05,stable,0.0013197930368962774,0.9985175828674046,,0.0,0.0,0.0
training_vs_validation,tx_count,numeric,1.8799921051288235e-05,stable,0.0013197001325222502,0.9985192267007507,,0.0,0.0,0.0
training_vs_validation,payment_plan_days_mean,numeric,1.4412680335702261e-05,stable,0.0006165254622827465,0.9999999999999997,,0.0,0.0,0.0
training_vs_validation,plan_list_price_mean,numeric,5.1148576350020354e-05,stable,0.0022479771634412726,0.7878495525516116,,0.0,0.0,0.0
training_vs_validation,actual_amount_paid_mean,numeric,5.636226109174131e-05,stable,0.00243017688118069,0.7020034515108531,,0.0,0.0,0.0
training_vs_validation,is_auto_renew_mean,numeric,0.00017208920900178113,stable,0.0020487953183612045,0.8709621825279918,,0.0,0.0,0.0
training_vs_validation,days_since_last_transaction,numeric,1.966440586314848e-05,stable,0.0014239159103934806,0.9955242639104751,,0.0,0.0,0.0
training_vs_validation,transaction_history_days,numeric,2.365693760398198e-05,stable,0.0016126946414022347,0.9806657603426502,,0.0,0.0,0.0
training_vs_validation,has_transaction_history,numeric,4.967797188344292e-06,stable,0.00042801001844818,1.0,,0.0,0.0,0.0
training_vs_validation,log_count,numeric,8.060222390911826e-05,stable,0.0025950540407191913,0.6215082886150036,,0.0,0.0,0.0
training_vs_validation,num_25_mean_per_record,numeric,0.0001033907493973715,stable,0.0026599733744807064,0.5899678411819242,,0.0,0.0,0.0
training_vs_validation,num_50_mean_per_record,numeric,7.777156492178634e-05,stable,0.0020144024566519647,0.8835937722791039,,0.0,0.0,0.0
training_vs_validation,num_75_mean_per_record,numeric,0.00011962573222446165,stable,0.002622947069181758,0.6079213972551161,,0.0,0.0,0.0
training_vs_validation,num_985_mean_per_record,numeric,5.149445160418198e-05,stable,0.0024057407434380784,0.7138210787417165,,0.0,0.0,0.0
training_vs_validation,num_100_mean_per_record,numeric,5.667344829542108e-05,stable,0.0017299931013549097,0.9623762158067951,,0.0,0.0,0.0
training_vs_validation,num_unq_mean_per_record,numeric,0.000139426548271527,stable,0.0020231312696030734,0.8804440638095348,,0.0,0.0,0.0
training_vs_validation,total_secs_mean_per_record,numeric,7.106977408017097e-05,stable,0.0015358740216238065,0.9885866022572314,,0.0,0.0,0.0
training_vs_validation,days_since_last_activity,numeric,5.1841395462967786e-05,stable,0.001214285803147308,0.99964732116881,,0.0,0.0,0.0
training_vs_validation,activity_history_days,numeric,6.564520531040964e-05,stable,0.0017118181549375944,0.9657401729368051,,0.0,0.0,0.0
training_vs_validation,has_activity_history,numeric,6.34194648651915e-07,stable,0.0003315606891835243,1.0,,0.0,0.0,0.0
training_vs_test,membership_age_days,numeric,7.303414551528372e-05,stable,0.0029916524501416575,0.43778899751829525,,0.0,0.0,0.0
training_vs_test,registration_year,numeric,5.159927497989807e-05,stable,0.002662668187120798,0.5886656233877479,,0.0,0.0,0.0
training_vs_test,registration_month,numeric,0.0001381671137377182,stable,0.0039315592229764995,0.14788498646492887,,0.0,0.0,0.0
training_vs_test,bd_missing,numeric,3.763009169471968e-05,stable,0.0030044265435317796,0.43235752760549884,,0.0,0.0,0.0
training_vs_test,registration_missing,numeric,9.312902394845482e-07,stable,0.00030573352427865075,1.0,,0.0,0.0,0.0
training_vs_test,has_member_profile,numeric,9.312902394845482e-07,stable,0.00030573352427863687,1.0,,0.0,0.0,0.0
training_vs_test,tx_count,numeric,2.157005938147607e-06,stable,0.002567527999178698,0.6349522440643675,,0.0,0.0,0.0
training_vs_test,payment_plan_days_mean,numeric,3.7722878556693115e-07,stable,0.00027985810098396513,1.0,,0.0,0.0,0.0
training_vs_test,plan_list_price_mean,numeric,2.356721243635197e-05,stable,0.0015894583243869498,0.9833740563176762,,0.0,0.0,0.0
training_vs_test,actual_amount_paid_mean,numeric,2.384860378287001e-05,stable,0.0014415885371850123,0.9947310682376921,,0.0,0.0,0.0
training_vs_test,is_auto_renew_mean,numeric,0.00016519045114723647,stable,0.0013432753601189673,0.9980526433505754,,0.0,0.0,0.0
training_vs_test,days_since_last_transaction,numeric,0.00011175221221486402,stable,0.001723930494698156,0.963520638070901,,0.0,0.0,0.0
training_vs_test,transaction_history_days,numeric,6.010383354657155e-05,stable,0.002657454914175572,0.5911854355163846,,0.0,0.0,0.0
training_vs_test,has_transaction_history,numeric,4.7248756848231156e-07,stable,0.00013224266060136297,1.0,,0.0,0.0,0.0
training_vs_test,log_count,numeric,6.506149472236027e-05,stable,0.0016332531756886315,0.9780288173966583,,0.0,0.0,0.0
