comparison,feature,feature_type,psi,drift_severity
original_test_vs_simulated_drift,membership_age_days,numeric,0.0,stable
original_test_vs_simulated_drift,registration_year,numeric,0.0,stable
original_test_vs_simulated_drift,registration_month,numeric,0.0,stable
original_test_vs_simulated_drift,bd_missing,numeric,0.0,stable
original_test_vs_simulated_drift,registration_missing,numeric,0.0,stable
original_test_vs_simulated_drift,has_member_profile,numeric,0.0,stable
original_test_vs_simulated_drift,tx_count,numeric,0.0,stable
original_test_vs_simulated_drift,payment_plan_days_mean,numeric,0.0,stable
original_test_vs_simulated_drift,plan_list_price_mean,numeric,3.1344030627361636,significant
original_test_vs_simulated_drift,actual_amount_paid_mean,numeric,2.741089955719254,significant
original_test_vs_simulated_drift,is_auto_renew_mean,numeric,19.80851036632102,significant
original_test_vs_simulated_drift,days_since_last_transaction,numeric,0.40914748677204205,significant
original_test_vs_simulated_drift,transaction_history_days,numeric,1.0086669750069586e-05,stable
original_test_vs_simulated_drift,has_transaction_history,numeric,0.0,stable
original_test_vs_simulated_drift,log_count,numeric,2.069993616221178,significant
original_test_vs_simulated_drift,num_25_mean_per_record,numeric,0.0,stable
original_test_vs_simulated_drift,num_50_mean_per_record,numeric,0.0,stable
original_test_vs_simulated_drift,num_75_mean_per_record,numeric,0.0,stable
original_test_vs_simulated_drift,num_985_mean_per_record,numeric,0.0,stable
original_test_vs_simulated_drift,num_100_mean_per_record,numeric,0.0,stable
original_test_vs_simulated_drift,num_unq_mean_per_record,numeric,0.0,stable
original_test_vs_simulated_drift,total_secs_mean_per_record,numeric,0.0,stable
original_test_vs_simulated_drift,days_since_last_activity,numeric,0.08236452685697375,stable
original_test_vs_simulated_drift,activity_history_days,numeric,9.061943343693931,significant
original_test_vs_simulated_drift,has_activity_history,numeric,0.0,stable
original_test_vs_simulated_drift,city,categorical,0.0,stable
original_test_vs_simulated_drift,gender,categorical,0.0,stable
original_test_vs_simulated_drift,registered_via,categorical,0.0,stable
original_test_vs_simulated_drift,latest_payment_method,categorical,0.0526083289965162,stable
