raw_feature,mean_absolute_shap
latest_payment_method,9.283287
days_since_last_transaction,1.5255946
transaction_history_days,1.04547
plan_list_price_mean,0.91647625
days_since_last_activity,0.49511316
actual_amount_paid_mean,0.32290068
activity_history_days,0.31043103
tx_count,0.24491917
registered_via,0.22126189
has_activity_history,0.21486926
membership_age_days,0.21394737
city,0.16531967
num_100_mean_per_record,0.15026134
num_50_mean_per_record,0.14652272
num_985_mean_per_record,0.13834159
log_count,0.12469282
num_75_mean_per_record,0.10411951
total_secs_mean_per_record,0.09639831
num_unq_mean_per_record,0.090040274
registration_month,0.08570074
payment_plan_days_mean,0.07934611
num_25_mean_per_record,0.07200989
is_auto_renew_mean,0.06694861
gender,0.04250906
bd_missing,0.018161437
has_member_profile,0.0
has_transaction_history,0.0
registration_year,0.0
registration_missing,0.0
