city,gender,registered_via,membership_age_days,registration_year,registration_month,bd_missing,registration_missing,has_member_profile,tx_count,payment_plan_days_mean,plan_list_price_mean,actual_amount_paid_mean,is_auto_renew_mean,days_since_last_transaction,transaction_history_days,latest_payment_method,has_transaction_history,log_count,num_25_mean_per_record,num_50_mean_per_record,num_75_mean_per_record,num_985_mean_per_record,num_100_mean_per_record,num_unq_mean_per_record,total_secs_mean_per_record,days_since_last_activity,activity_history_days,has_activity_history,is_churn
city_1,unknown,registered_via_7,793.0,2015.0,1.0,1,0,1,1.0,30.0,149.0,149.0,1.0,4.0,0.0,payment_method_41,1,10.0,4.3,1.7,0.9,1.5,36.8,28.1,10543.1019,7.0,21.0,1,0
city_1,unknown,registered_via_9,793.0,2015.0,1.0,1,0,1,1.0,30.0,149.0,149.0,0.0,6.0,0.0,payment_method_38,1,27.0,10.555555555555555,1.5185185185185186,0.8148148148148148,0.9259259259259259,41.111111111111114,48.0,10178.03288888889,0.0,30.0,1,0
city_1,unknown,registered_via_9,478.0,2015.0,12.0,1,0,1,1.0,30.0,149.0,149.0,0.0,18.0,0.0,payment_method_38,1,9.0,2.888888888888889,0.3333333333333333,0.2222222222222222,0.3333333333333333,7.0,6.222222222222222,1607.1264444444444,0.0,29.0,1,0
city_1,unknown,registered_via_7,419.0,2016.0,2.0,1,0,1,1.0,30.0,99.0,99.0,1.0,25.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0,0
city_1,unknown,registered_via_7,238.0,2016.0,8.0,1,0,1,1.0,30.0,99.0,99.0,1.0,26.0,0.0,payment_method_41,1,6.0,37.0,2.5,1.0,1.0,5.166666666666667,31.833333333333332,2069.063833333333,20.0,9.0,1,0
city_1,unknown,registered_via_7,410.0,2016.0,2.0,1,0,1,1.0,30.0,99.0,99.0,1.0,16.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0,0
city_1,unknown,registered_via_7,48.0,2017.0,2.0,1,0,1,1.0,30.0,99.0,99.0,1.0,20.0,0.0,payment_method_41,1,24.0,1.6666666666666667,0.8333333333333334,0.4166666666666667,0.5416666666666666,13.791666666666666,14.5,3702.4534999999996,0.0,29.0,1,0
unknown,unknown,unknown,1034.0,2014.0,7.0,1,1,0,1.0,30.0,99.0,99.0,1.0,11.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0,0
city_1,unknown,registered_via_7,228.0,2016.0,8.0,1,0,1,1.0,30.0,99.0,99.0,1.0,16.0,0.0,payment_method_41,1,12.0,4.166666666666667,0.6666666666666666,0.5,0.4166666666666667,18.666666666666668,22.333333333333332,4892.736416666667,0.0,17.0,1,0
city_1,unknown,registered_via_4,297.0,2016.0,6.0,1,0,1,1.0,30.0,180.0,180.0,1.0,4.0,0.0,payment_method_36,1,30.0,14.3,2.7666666666666666,2.2,2.533333333333333,51.4,52.1,14289.533733333334,0.0,30.0,1,0
city_1,unknown,registered_via_4,168.0,2016.0,10.0,1,0,1,1.0,30.0,180.0,180.0,1.0,10.0,0.0,payment_method_36,1,31.0,3.4193548387096775,3.0,0.6451612903225806,0.8387096774193549,21.35483870967742,19.612903225806452,5932.6724516129025,0.0,30.0,1,0
city_1,unknown,registered_via_7,1158.0,2014.0,1.0,1,0,1,1.0,30.0,99.0,99.0,1.0,19.0,0.0,payment_method_41,1,11.0,2.727272727272727,0.7272727272727273,0.8181818181818182,0.8181818181818182,8.181818181818182,8.363636363636363,2347.120363636364,0.0,28.0,1,0
city_1,unknown,registered_via_9,886.0,2014.0,10.0,1,0,1,1.0,30.0,149.0,149.0,0.0,22.0,0.0,payment_method_38,1,30.0,20.5,2.2,1.1,1.3666666666666667,28.4,42.93333333333333,7347.372933333333,0.0,30.0,1,0
city_5,female,registered_via_7,1352.0,2013.0,7.0,0,0,1,1.0,30.0,149.0,149.0,1.0,20.0,0.0,payment_method_40,1,27.0,1.7037037037037037,0.9259259259259259,0.9629629629629629,0.8148148148148148,159.7037037037037,138.55555555555554,36993.09266666667,0.0,29.0,1,0
city_1,unknown,registered_via_7,89.0,2017.0,1.0,1,0,1,1.0,30.0,99.0,99.0,1.0,0.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0,0
city_1,unknown,registered_via_7,1857.0,2012.0,2.0,1,0,1,1.0,30.0,99.0,99.0,1.0,29.0,0.0,payment_method_41,1,24.0,2.3333333333333335,1.0,0.7083333333333334,0.7916666666666666,52.416666666666664,27.791666666666668,12815.767333333331,0.0,30.0,1,0
unknown,unknown,unknown,1034.0,2014.0,7.0,1,1,0,1.0,30.0,100.0,100.0,1.0,15.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0,0
city_4,unknown,registered_via_9,769.0,2015.0,2.0,0,0,1,1.0,30.0,149.0,149.0,1.0,0.0,0.0,payment_method_33,1,27.0,3.740740740740741,0.8148148148148148,0.6666666666666666,0.37037037037037035,10.37037037037037,11.11111111111111,2994.042592592593,0.0,30.0,1,0
city_1,unknown,registered_via_7,298.0,2016.0,6.0,1,0,1,1.0,30.0,149.0,149.0,1.0,26.0,0.0,payment_method_41,1,30.0,2.033333333333333,1.9333333333333333,0.43333333333333335,0.13333333333333333,16.6,19.333333333333332,4300.9935,0.0,30.0,1,0
city_1,unknown,registered_via_7,530.0,2015.0,10.0,1,0,1,2.0,30.0,99.0,99.0,1.0,14.0,28.0,payment_method_41,1,7.0,17.714285714285715,1.2857142857142858,0.5714285714285714,0.2857142857142857,26.571428571428573,34.857142857142854,7178.477285714286,1.0,24.0,1,1
city_22,male,registered_via_7,658.0,2015.0,6.0,0,0,1,2.0,30.0,124.0,124.0,1.0,20.0,0.0,payment_method_41,1,31.0,5.612903225806452,1.096774193548387,1.064516129032258,0.7419354838709677,35.225806451612904,29.93548387096774,9756.77235483871,0.0,30.0,1,0
city_5,male,registered_via_3,905.0,2014.0,10.0,0,0,1,1.0,30.0,149.0,149.0,1.0,15.0,0.0,payment_method_37,1,22.0,8.545454545454545,1.0,0.5454545454545454,0.5909090909090909,33.40909090909091,41.45454545454545,8643.402545454546,3.0,26.0,1,0
city_13,unknown,registered_via_9,328.0,2016.0,5.0,1,0,1,2.0,30.0,149.0,149.0,1.0,0.0,31.0,payment_method_39,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0,0
city_1,unknown,registered_via_7,315.0,2016.0,5.0,1,0,1,1.0,30.0,99.0,99.0,1.0,12.0,0.0,payment_method_41,1,3.0,1.6666666666666667,0.3333333333333333,0.0,0.6666666666666666,4.333333333333333,5.0,1358.0556666666669,8.0,11.0,1,0
city_1,unknown,registered_via_7,634.0,2015.0,7.0,1,0,1,1.0,30.0,99.0,99.0,1.0,25.0,0.0,payment_method_41,1,30.0,10.1,1.6,1.7666666666666666,2.8333333333333335,31.933333333333334,34.333333333333336,8962.790466666665,0.0,29.0,1,0
unknown,unknown,unknown,1034.0,2014.0,7.0,1,1,0,1.0,30.0,99.0,99.0,1.0,14.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0,0
city_1,unknown,registered_via_7,756.0,2015.0,3.0,1,0,1,1.0,30.0,180.0,180.0,1.0,4.0,0.0,payment_method_36,1,18.0,3.388888888888889,0.8888888888888888,0.5555555555555556,1.1666666666666667,9.61111111111111,14.11111111111111,2883.131888888889,0.0,30.0,1,0
city_1,unknown,registered_via_7,48.0,2017.0,2.0,1,0,1,1.0,30.0,99.0,99.0,1.0,21.0,0.0,payment_method_41,1,19.0,12.105263157894736,1.5263157894736843,1.5789473684210527,0.9473684210526315,22.473684210526315,29.05263157894737,5786.132368421052,5.0,25.0,1,0
city_1,unknown,registered_via_7,472.0,2015.0,12.0,1,0,1,1.0,30.0,99.0,99.0,1.0,16.0,0.0,payment_method_41,1,8.0,5.5,1.375,1.25,1.875,20.25,28.375,5997.590125,3.0,27.0,1,0
city_1,unknown,registered_via_7,465.0,2015.0,12.0,1,0,1,1.0,30.0,99.0,99.0,1.0,9.0,0.0,payment_method_41,1,4.0,1.0,0.25,0.5,0.0,14.0,15.25,3805.9032500000003,7.0,19.0,1,0
city_1,unknown,registered_via_7,392.0,2016.0,3.0,1,0,1,1.0,30.0,99.0,99.0,1.0,27.0,0.0,payment_method_41,1,1.0,0.0,1.0,1.0,0.0,3.0,5.0,1040.023,25.0,0.0,1,0
city_1,unknown,registered_via_7,1445.0,2013.0,4.0,1,0,1,1.0,30.0,149.0,149.0,1.0,22.0,0.0,payment_method_41,1,17.0,0.5882352941176471,0.23529411764705882,0.17647058823529413,0.17647058823529413,16.764705882352942,12.529411764705882,4252.387529411764,0.0,30.0,1,0
city_5,unknown,registered_via_3,1160.0,2014.0,1.0,1,0,1,1.0,30.0,149.0,149.0,1.0,13.0,0.0,payment_method_40,1,24.0,8.75,3.5,1.4166666666666667,0.7083333333333334,3.3333333333333335,16.75,1663.6350833333336,0.0,29.0,1,0
city_1,unknown,registered_via_4,348.0,2016.0,4.0,1,0,1,1.0,30.0,149.0,149.0,1.0,13.0,0.0,unknown,0,1.0,3.0,1.0,0.0,2.0,0.0,6.0,554.893,20.0,0.0,1,0
city_1,unknown,registered_via_7,557.0,2015.0,9.0,1,0,1,1.0,30.0,99.0,99.0,1.0,10.0,0.0,payment_method_41,1,26.0,3.269230769230769,0.07692307692307693,0.15384615384615385,0.15384615384615385,41.07692307692308,27.884615384615383,9579.723923076923,0.0,30.0,1,0
city_1,unknown,registered_via_7,295.0,2016.0,6.0,1,0,1,1.0,30.0,99.0,99.0,1.0,23.0,0.0,payment_method_41,1,8.0,5.875,0.875,0.75,0.125,8.25,14.625,2413.4795000000004,0.0,29.0,1,0
unknown,unknown,unknown,1034.0,2014.0,7.0,1,1,0,1.0,30.0,149.0,149.0,1.0,0.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0,0
city_5,male,registered_via_3,936.0,2014.0,9.0,0,0,1,1.0,30.0,149.0,149.0,0.0,18.0,0.0,payment_method_38,1,23.0,9.956521739130435,0.391304347826087,0.17391304347826086,0.4782608695652174,16.304347826086957,25.91304347826087,4395.658913043479,0.0,30.0,1,1
city_1,unknown,registered_via_7,190.0,2016.0,9.0,1,0,1,1.0,30.0,99.0,99.0,1.0,9.0,0.0,payment_method_41,1,4.0,1.25,0.75,0.25,0.25,25.0,12.25,6797.093500000001,10.0,20.0,1,0
city_1,unknown,registered_via_7,266.0,2016.0,7.0,1,0,1,1.0,30.0,149.0,149.0,1.0,24.0,0.0,payment_method_41,1,27.0,5.814814814814815,1.7037037037037037,2.0,1.4814814814814814,36.851851851851855,31.666666666666668,9981.455333333333,0.0,30.0,1,0
city_22,female,registered_via_9,4588.0,2004.0,9.0,1,0,1,1.0,30.0,129.0,129.0,1.0,22.0,0.0,payment_method_30,1,18.0,25.444444444444443,26.22222222222222,4.388888888888889,1.9444444444444444,46.44444444444444,86.22222222222223,15552.614722222219,0.0,29.0,1,0
city_22,male,registered_via_9,564.0,2015.0,9.0,0,0,1,1.0,30.0,149.0,149.0,1.0,14.0,0.0,payment_method_37,1,7.0,1.2857142857142858,0.8571428571428571,0.5714285714285714,0.2857142857142857,3.142857142857143,5.285714285714286,1033.3165714285713,0.0,30.0,1,0
city_1,unknown,registered_via_7,1345.0,2013.0,7.0,1,0,1,1.0,30.0,99.0,99.0,1.0,17.0,0.0,payment_method_41,1,5.0,0.4,0.0,0.0,0.0,6.2,1.6,1751.6334,8.0,8.0,1,0
city_5,male,registered_via_9,54.0,2017.0,2.0,0,0,1,1.0,30.0,149.0,149.0,1.0,13.0,0.0,unknown,0,6.0,8.666666666666666,1.0,0.3333333333333333,0.6666666666666666,6.5,16.5,1757.6933333333334,24.0,6.0,1,1
city_15,female,registered_via_9,2757.0,2009.0,9.0,0,0,1,1.0,30.0,180.0,180.0,1.0,28.0,0.0,payment_method_36,1,15.0,0.9333333333333333,0.2,0.26666666666666666,0.4666666666666667,4.2,5.333333333333333,1223.1292666666666,2.0,27.0,1,0
unknown,unknown,unknown,1034.0,2014.0,7.0,1,1,0,1.0,30.0,99.0,99.0,1.0,27.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0,0
city_1,unknown,registered_via_7,386.0,2016.0,3.0,1,0,1,1.0,30.0,149.0,149.0,1.0,22.0,0.0,payment_method_41,1,20.0,4.3,1.25,0.6,0.85,15.75,9.4,3940.0727500000003,1.0,29.0,1,0
city_13,male,registered_via_9,2651.0,2009.0,12.0,0,0,1,1.0,30.0,149.0,149.0,1.0,0.0,0.0,payment_method_34,1,30.0,4.366666666666666,1.3666666666666667,1.3333333333333333,1.3333333333333333,28.6,14.266666666666667,7134.479733333333,0.0,30.0,1,0
city_5,male,registered_via_9,1894.0,2012.0,1.0,0,0,1,1.0,30.0,149.0,149.0,1.0,3.0,0.0,payment_method_40,1,14.0,2.0714285714285716,0.9285714285714286,0.07142857142857142,0.35714285714285715,23.142857142857142,24.285714285714285,6077.4214999999995,0.0,27.0,1,0
city_1,unknown,registered_via_7,394.0,2016.0,3.0,1,0,1,1.0,30.0,99.0,99.0,1.0,29.0,0.0,payment_method_41,1,25.0,7.6,1.36,0.8,1.04,22.08,28.68,6170.963639999999,0.0,28.0,1,0
city_1,unknown,registered_via_7,482.0,2015.0,12.0,1,0,1,1.0,30.0,99.0,99.0,1.0,27.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0,0
city_1,unknown,registered_via_7,423.0,2016.0,2.0,1,0,1,1.0,30.0,99.0,99.0,1.0,29.0,0.0,payment_method_41,1,15.0,4.8,0.26666666666666666,0.06666666666666667,0.5333333333333333,2.8,8.0,855.2988,0.0,29.0,1,0
city_1,unknown,registered_via_7,1227.0,2013.0,11.0,1,0,1,1.0,30.0,149.0,149.0,1.0,4.0,0.0,payment_method_41,1,23.0,0.9565217391304348,0.5217391304347826,0.9130434782608695,2.391304347826087,126.47826086956522,119.47826086956522,32714.38665217391,0.0,30.0,1,0
city_22,female,registered_via_9,3642.0,2007.0,4.0,0,0,1,1.0,30.0,180.0,180.0,1.0,18.0,0.0,payment_method_36,1,27.0,1.3333333333333333,0.6666666666666666,0.37037037037037035,0.37037037037037035,5.888888888888889,4.296296296296297,1651.434185185185,0.0,30.0,1,0
city_5,male,registered_via_9,2241.0,2011.0,2.0,0,0,1,3.0,30.0,149.0,149.0,1.0,0.0,59.0,payment_method_39,1,31.0,35.16129032258065,2.7096774193548385,2.2903225806451615,3.903225806451613,24.677419354838708,58.96774193548387,8078.1558387096775,0.0,30.0,1,1
city_1,unknown,registered_via_7,147.0,2016.0,11.0,1,0,1,1.0,30.0,99.0,99.0,1.0,28.0,0.0,payment_method_41,1,21.0,7.0,1.2380952380952381,0.8571428571428571,1.6666666666666667,16.333333333333332,22.333333333333332,4572.372380952382,2.0,27.0,1,0
city_22,male,registered_via_7,2469.0,2010.0,6.0,0,0,1,1.0,30.0,99.0,99.0,1.0,5.0,0.0,payment_method_41,1,15.0,0.7333333333333333,0.3333333333333333,0.26666666666666666,0.4666666666666667,36.266666666666666,29.066666666666666,8929.340866666667,0.0,30.0,1,0
city_1,unknown,registered_via_7,1344.0,2013.0,7.0,1,0,1,1.0,30.0,99.0,99.0,1.0,4.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0,0
city_1,unknown,registered_via_7,412.0,2016.0,2.0,1,0,1,1.0,30.0,100.0,100.0,1.0,4.0,0.0,payment_method_41,1,9.0,2.4444444444444446,0.4444444444444444,0.3333333333333333,0.5555555555555556,5.111111111111111,7.888888888888889,1427.5157777777777,5.0,24.0,1,0
city_5,female,registered_via_7,372.0,2016.0,3.0,0,0,1,1.0,30.0,99.0,99.0,1.0,7.0,0.0,payment_method_41,1,4.0,2.5,0.75,1.5,1.0,9.5,14.0,2725.04625,1.0,20.0,1,0
city_22,female,registered_via_9,3776.0,2006.0,11.0,0,0,1,1.0,30.0,149.0,149.0,1.0,0.0,0.0,payment_method_33,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0,0
city_4,female,registered_via_9,4168.0,2005.0,11.0,0,0,1,1.0,30.0,149.0,149.0,1.0,0.0,0.0,payment_method_31,1,1.0,36.0,5.0,7.0,2.0,28.0,52.0,8745.802,17.0,0.0,1,0
city_5,female,registered_via_9,1543.0,2013.0,1.0,0,0,1,1.0,30.0,149.0,149.0,1.0,10.0,0.0,payment_method_40,1,8.0,0.375,0.625,0.125,0.0,15.625,15.0,3619.827875,12.0,18.0,1,0
city_1,unknown,registered_via_7,420.0,2016.0,2.0,1,0,1,1.0,30.0,149.0,149.0,1.0,26.0,0.0,payment_method_41,1,8.0,3.25,0.625,0.25,0.375,3.25,6.375,960.0741250000001,0.0,30.0,1,0
city_1,unknown,registered_via_7,261.0,2016.0,7.0,1,0,1,1.0,30.0,99.0,99.0,1.0,19.0,0.0,payment_method_41,1,23.0,1.5217391304347827,0.43478260869565216,0.30434782608695654,0.391304347826087,14.695652173913043,11.391304347826088,3851.380260869565,1.0,29.0,1,0
unknown,unknown,unknown,1034.0,2014.0,7.0,1,1,0,1.0,30.0,149.0,149.0,1.0,13.0,0.0,unknown,0,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0,1
city_4,female,registered_via_3,1685.0,2012.0,8.0,0,0,1,2.0,30.0,149.0,149.0,1.0,0.0,31.0,payment_method_39,1,19.0,2.526315789473684,0.47368421052631576,0.10526315789473684,0.42105263157894735,15.631578947368421,16.263157894736842,3866.1308947368416,3.0,27.0,1,0
city_1,unknown,registered_via_4,125.0,2016.0,11.0,1,0,1,2.0,30.0,180.0,180.0,1.0,4.0,28.0,payment_method_36,1,21.0,15.047619047619047,2.5238095238095237,1.0952380952380953,0.7619047619047619,24.38095238095238,39.0,6822.39719047619,3.0,27.0,1,0
unknown,unknown,unknown,1034.0,2014.0,7.0,1,1,0,1.0,30.0,99.0,99.0,1.0,15.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0,0
city_1,unknown,registered_via_4,55.0,2017.0,2.0,1,0,1,1.0,30.0,149.0,149.0,0.0,20.0,0.0,payment_method_38,1,13.0,2.1538461538461537,1.9230769230769231,1.0,0.5384615384615384,11.538461538461538,6.076923076923077,3138.933461538462,0.0,20.0,1,0
