city,gender,registered_via,membership_age_days,registration_year,registration_month,bd_missing,registration_missing,has_member_profile,tx_count,payment_plan_days_mean,plan_list_price_mean,actual_amount_paid_mean,is_auto_renew_mean,days_since_last_transaction,transaction_history_days,latest_payment_method,has_transaction_history,log_count,num_25_mean_per_record,num_50_mean_per_record,num_75_mean_per_record,num_985_mean_per_record,num_100_mean_per_record,num_unq_mean_per_record,total_secs_mean_per_record,days_since_last_activity,activity_history_days,has_activity_history
city_1,unknown,registered_via_4,185.0,2016.0,9.0,1,0,1,1.0,30.0,180.0,180.0,0.0,26.0,0.0,payment_method_36,1,30.0,6.666666666666667,1.0666666666666667,0.3,0.3,116.9,108.06666666666666,30132.390066666667,0.0,30.0,1
city_1,unknown,registered_via_7,2109.0,2011.0,6.0,1,0,1,1.0,30.0,99.0,99.0,1.0,21.0,0.0,payment_method_41,1,27.0,4.555555555555555,1.1111111111111112,0.7407407407407407,0.6666666666666666,30.59259259259259,27.814814814814813,7206.874666666666,0.0,30.0,1
city_1,unknown,registered_via_7,552.0,2015.0,9.0,1,0,1,1.0,30.0,99.0,99.0,1.0,5.0,0.0,payment_method_41,1,26.0,19.96153846153846,1.6538461538461537,1.0769230769230769,1.4615384615384615,26.53846153846154,40.46153846153846,7314.422307692307,0.0,30.0,1
city_1,unknown,registered_via_7,376.0,2016.0,3.0,1,0,1,1.0,30.0,99.0,99.0,1.0,11.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0
city_1,unknown,registered_via_7,85.0,2017.0,1.0,1,0,1,1.0,30.0,100.0,100.0,1.0,27.0,0.0,payment_method_41,1,12.0,10.333333333333334,2.5833333333333335,0.9166666666666666,1.1666666666666667,22.0,29.25,6267.704333333332,0.0,28.0,1
city_1,unknown,registered_via_7,1198.0,2013.0,12.0,1,0,1,1.0,30.0,99.0,99.0,1.0,10.0,0.0,payment_method_41,1,27.0,1.7407407407407407,0.5925925925925926,0.6296296296296297,0.5185185185185185,20.814814814814813,19.666666666666668,5271.732925925926,0.0,30.0,1
city_15,male,registered_via_9,3639.0,2007.0,4.0,0,0,1,1.0,30.0,149.0,149.0,1.0,4.0,0.0,payment_method_40,1,28.0,2.6785714285714284,0.6785714285714286,0.5,0.9642857142857143,18.0,19.392857142857142,4964.648428571428,0.0,30.0,1
city_4,female,registered_via_7,973.0,2014.0,8.0,0,0,1,2.0,30.0,149.0,149.0,1.0,0.0,31.0,payment_method_39,1,21.0,2.9047619047619047,0.7619047619047619,0.42857142857142855,0.47619047619047616,12.285714285714286,11.095238095238095,3308.0457619047615,0.0,26.0,1
city_15,female,registered_via_9,3416.0,2007.0,11.0,0,0,1,2.0,30.0,149.0,149.0,1.0,0.0,31.0,payment_method_39,1,24.0,4.166666666666667,1.375,0.4583333333333333,0.4583333333333333,12.041666666666666,12.041666666666666,3548.2696250000004,0.0,30.0,1
city_18,male,registered_via_4,447.0,2016.0,1.0,0,0,1,1.0,195.0,894.0,894.0,0.0,26.0,0.0,payment_method_38,1,31.0,28.032258064516128,1.0,1.3548387096774193,3.6129032258064515,16.387096774193548,44.74193548387097,5169.522354838709,0.0,30.0,1
city_1,unknown,registered_via_4,297.0,2016.0,6.0,1,0,1,1.0,30.0,149.0,149.0,0.0,22.0,0.0,payment_method_38,1,29.0,45.758620689655174,4.793103448275862,2.5172413793103448,3.586206896551724,27.310344827586206,55.10344827586207,8723.803896551724,0.0,30.0,1
unknown,unknown,unknown,1034.0,2014.0,7.0,1,1,0,1.0,30.0,99.0,99.0,1.0,27.0,0.0,payment_method_41,1,19.0,3.4615384615384617,0.8888888888888888,0.6,0.6086956521739131,17.454545454545453,19.227272727272727,4710.557943910257,0.0,29.0,0
city_1,unknown,registered_via_3,1558.0,2012.0,12.0,1,0,1,1.0,30.0,180.0,180.0,1.0,5.0,0.0,payment_method_36,1,27.0,8.962962962962964,1.0740740740740742,0.5185185185185185,0.5555555555555556,43.74074074074074,47.851851851851855,10709.130814814815,2.0,28.0,1
city_1,unknown,registered_via_7,1120.0,2014.0,3.0,1,0,1,1.0,30.0,149.0,149.0,1.0,25.0,0.0,payment_method_41,1,29.0,7.586206896551724,1.896551724137931,1.2413793103448276,1.5517241379310345,112.06896551724138,89.06896551724138,27952.49717241379,0.0,30.0,1
